,id,Probability
0,16108,0.23561132
1,16109,0.21651521
2,16110,0.18113407
3,16111,0.20161808
4,16112,0.19704583
5,16113,0.19632435
6,16114,0.27155092
7,16115,0.15868345
8,16116,0.19695985
9,16117,0.21032122
10,16118,0.2624084
11,16119,0.21096405
12,16120,0.17446241
13,16121,0.16301379
14,16122,0.2173622
15,16123,0.25395197
16,16124,0.23561132
17,16125,0.17601252
18,16126,0.28808287
19,16127,0.23561132
20,16128,0.2823152
21,16129,0.23974869
22,16130,0.18920738
23,16131,0.18581447
24,16132,0.16481149
25,16133,0.27344394
26,16134,0.2715842
27,16135,0.22403961
28,16136,0.28809866
29,16137,0.18114406
30,16138,0.19947019
31,16139,0.19880423
32,16140,0.192336
33,16141,0.18119189
34,16142,0.28225428
35,16143,0.30905306
36,16144,0.22182065
37,16145,0.22236198
38,16146,0.18980196
39,16147,0.17230034
40,16148,0.20644549
41,16149,0.20751363
42,16150,0.19975194
43,16151,0.22583947
44,16152,0.28968745
45,16153,0.23451728
46,16154,0.20447901
47,16155,0.21609983
48,16156,0.23425925
49,16157,0.22977856
50,16158,0.30189258
51,16159,0.2796389
52,16160,0.20253336
53,16161,0.28968745
54,16162,0.22760564
55,16163,0.23655275
56,16164,0.17147285
57,16165,0.15241504
58,16166,0.25015935
59,16167,0.22935754
60,16168,0.16653845
61,16169,0.24677742
62,16170,0.3303453
63,16171,0.15427816
64,16172,0.14860293
65,16173,0.19916508
66,16174,0.22411293
67,16175,0.20148146
68,16176,0.2184344
69,16177,0.18831444
70,16178,0.19704169
71,16179,0.15151897
72,16180,0.21141526
73,16181,0.20860767
74,16182,0.17228678
75,16183,0.32524282
76,16184,0.2418977
77,16185,0.28753084
78,16186,0.24411348
79,16187,0.18096092
80,16188,0.49875957
81,16189,0.28968745
82,16190,0.20447901
83,16191,0.19394293
84,16192,0.24835432
85,16193,0.15876025
86,16194,0.28968745
87,16195,0.28968745
88,16196,0.28808287
89,16197,0.16997656
90,16198,0.22238904
91,16199,0.22374448
92,16200,0.1748158
93,16201,0.19813988
94,16202,0.24346706
95,16203,0.29078147
96,16204,0.21247473
97,16205,0.28457814
98,16206,0.23640582
99,16207,0.28257442
100,16208,0.15539187
101,16209,0.192336
102,16210,0.18229815
103,16211,0.2061899
104,16212,0.20759797
105,16213,0.20352969
106,16214,0.21616426
107,16215,0.23314893
108,16216,0.21696272
109,16217,0.16459146
110,16218,0.16146207
111,16219,0.17412478
112,16220,0.18524942
113,16221,0.28641558
114,16222,0.17671499
115,16223,0.28271264
116,16224,0.20363131
117,16225,0.21032122
118,16226,0.20084599
119,16227,0.22677672
120,16228,0.36154187
121,16229,0.23472267
122,16230,0.27758813
123,16231,0.18787232
124,16232,0.19990066
125,16233,0.17131719
126,16234,0.2270841
127,16235,0.22291619
128,16236,0.18114406
129,16237,0.28225428
130,16238,0.1841765
131,16239,0.348112
132,16240,0.17578152
133,16241,0.28326467
134,16242,0.2206755
135,16243,0.1479887
136,16244,0.28968745
137,16245,0.2672159
138,16246,0.28809866
139,16247,0.17857307
140,16248,0.2369416
141,16249,0.29616395
142,16250,0.28641558
143,16251,0.19347769
144,16252,0.25385463
145,16253,0.2106421
146,16254,0.31662613
147,16255,0.28217065
148,16256,0.31741023
149,16257,0.29419845
150,16258,0.3143236
151,16259,0.23451728
152,16260,0.2206755
153,16261,0.17719275
154,16262,0.15553752
155,16263,0.18675101
156,16264,0.22979021
157,16265,0.2072866
158,16266,0.29008165
159,16267,0.2570802
160,16268,0.41763264
161,16269,0.21639523
162,16270,0.15983328
163,16271,0.3028859
164,16272,0.17055431
165,16273,0.23788306
166,16274,0.28290305
167,16275,0.20690337
168,16276,0.23764679
169,16277,0.23451728
170,16278,0.22454742
171,16279,0.2158849
172,16280,0.28968745
173,16281,0.20580932
174,16282,0.1820659
175,16283,0.25385463
176,16284,0.29078147
177,16285,0.29132345
178,16286,0.19695985
179,16287,0.17766112
180,16288,0.23451728
181,16289,0.23032057
182,16290,0.21629086
183,16291,0.20543885
184,16292,0.23406819
185,16293,0.2812749
186,16294,0.30753067
187,16295,0.22371933
